|	no. of generations	|	minimum fitness 	|	50th percentile fitness	|	maximum fitness 	|
-----------------------------------------------------------------------------------------------------------------------
|		5		|	1.48E-06		|	4.93E-06		|	9.36E-06		|
|		10		|	1.35E-06		|	6.72E-06		|	9.56E-06		|
|		5		|	1.46E-06		|	3.40E-06		|	9.57E-06		|
|		10		|	1.47E-06		|	4.82E-06		|	9.60E-06		|
|		5		|	1.43E-06		|	6.75E-06		|	9.74E-06		|
|		10		|	1.49E-06		|	8.29E-06		|	9.74E-06		|
|		15		|	1.34E-06		|	4.62E-06		|	9.74E-06		|
|		20		|	1.36E-06		|	4.68E-06		|	9.79E-06		|
|		25		|	1.46E-06		|	4.82E-06		|	9.79E-06		|
|		30		|	2.57E-06		|	5.17E-06		|	9.79E-06		|
|		35		|	1.36E-06		|	4.56E-06		|	9.79E-06		|
|		40		|	1.37E-06		|	1.93E-06		|	9.81E-06		|
|		45		|	1.87E-06		|	4.94E-06		|	9.81E-06		|
|		50		|	1.43E-06		|	5.32E-06		|	9.81E-06		|
|		55		|	2.64E-06		|	5.67E-06		|	9.81E-06		|
|		60		|	4.37E-06		|	4.96E-06		|	9.81E-06		|
|		65		|	2.64E-06		|	5.06E-06		|	9.81E-06		|
|		70		|	1.38E-06		|	5.78E-06		|	9.81E-06		|
|		75		|	3.02E-06		|	6.31E-06		|	9.81E-06		|
|		80		|	4.47E-06		|	5.92E-06		|	9.81E-06		|
|		85		|	1.73E-06		|	5.57E-06		|	9.81E-06		|
|		90		|	1.39E-06		|	5.39E-06		|	9.81E-06		|
|		95		|	1.46E-06		|	5.32E-06		|	9.81E-06		|
|		100		|	4.54E-06		|	4.85E-06		|	9.81E-06		|
|		105		|	1.47E-06		|	4.96E-06		|	9.81E-06		|
|		110		|	1.49E-06		|	4.93E-06		|	9.81E-06		|
|		115		|	1.42E-06		|	5.48E-06		|	9.81E-06		|
|		120		|	1.45E-06		|	7.67E-06		|	9.81E-06		|
|		125		|	1.37E-06		|	4.86E-06		|	9.81E-06		|
|		130		|	4.31E-06		|	6.67E-06		|	9.81E-06		|
|		135		|	1.37E-06		|	4.57E-06		|	9.81E-06		|
|		140		|	1.35E-06		|	4.71E-06		|	9.81E-06		|
|		145		|	1.38E-06		|	5.17E-06		|	9.81E-06		|
|		150		|	1.56E-06		|	4.71E-06		|	9.81E-06		|
|		155		|	4.43E-06		|	8.07E-06		|	9.81E-06		|
|		160		|	1.34E-06		|	8.97E-06		|	9.81E-06		|
|		165		|	1.45E-06		|	5.51E-06		|	9.81E-06		|
|		170		|	2.07E-06		|	6.22E-06		|	9.81E-06		|
|		175		|	1.40E-06		|	3.19E-06		|	9.81E-06		|
|		180		|	1.55E-06		|	6.69E-06		|	9.81E-06		|
|		185		|	2.53E-06		|	7.12E-06		|	9.81E-06		|
|		190		|	2.63E-06		|	5.05E-06		|	9.81E-06		|
|		195		|	1.50E-06		|	6.93E-06		|	9.81E-06		|
|		200		|	1.41E-06		|	7.12E-06		|	9.81E-06		|
|		205		|	1.46E-06		|	5.52E-06		|	9.81E-06		|
|		210		|	1.28E-06		|	6.08E-06		|	9.81E-06		|
